"","INDINF_CPI_M","INDINF_LOWTARGET","INDINF_UPPTARGET","Volume","Monthly_Change","INDINF_CPI_COMMON_M","INDINF_CPI_MEDIAN_M","INDINF_CPI_TRIM_M"
"2",0.02,0.01972223,0.03972223,900880000,-0.0134013560510187,0.02,0.02,0.02
"3",0.024,0.01944445,0.03944445,969630000,0.044229299954621,0.02,0.02,0.021
"4",0.019,0.01916667,0.03916667,1295630000,0.0436596323954348,0.02,0.019,0.02
"5",0.018,0.0188889,0.03888889,1374870000,0.0519098392980135,0.019,0.019,0.019
"6",0.019,0.01861112,0.03861111,1305340000,0.0245949750383458,0.018,0.019,0.019
"7",0.017,0.01833334,0.03833333,1236020000,0.0215834239645663,0.018,0.018,0.018
"8",0.017,0.01805556,0.03805556,1161400000,0.000201706590300388,0.016,0.018,0.018
"9",0.018,0.01777778,0.03777778,1109630000,0.0429522456908298,0.016,0.017,0.018
"10",0.018,0.01750001,0.0375,1285110000,-0.0355278413858932,0.016,0.017,0.019
"11",0.019,0.01722223,0.03722222,1141140000,0.0663809691511716,0.016,0.018,0.019
"12",0.019,0.01694445,0.03694444,1.591e+09,-0.0176947021501586,0.015,0.017,0.018
"13",0.017,0.01666667,0.03666666,1280270000,0.0337782164521427,0.015,0.015,0.016
"14",0.013,0.01638889,0.03638888,1649260000,0.0540334163223202,0.013,0.015,0.015
"15",0.001,0.01611112,0.0361111,1459380000,-0.028782212522922,0.013,0.016,0.015
"16",0.002,0.01583334,0.03583332,1697050000,-0.0212938449189157,0.012,0.016,0.016
"17",0.002,0.01555556,0.03555554,1163590000,-0.0144355133465723,0.012,0.016,0.015
"18",-0.002,0.01527778,0.03527776,1185020000,0.0139906975765536,0.011,0.014,0.013
"19",0,0.015,0.03499999,1178700000,-0.069681928812974,0.011,0.014,0.013
"20",0.001,0.01472223,0.03472221,983970000,0.0381834767915459,0.011,0.015,0.014
"21",0.001,0.01444445,0.03444443,1280810000,0.0407992342665711,0.011,0.014,0.014
"22",0.002,0.01416667,0.03416666,1300180000,0.00108062880790905,0.01,0.015,0.014
"23",-0.002,0.01388889,0.03388888,1103340000,-0.0143539564560604,0.009,0.013,0.013
"24",-0.001,0.01361112,0.0336111,1118880000,-0.0462055325372047,0.011,0.015,0.014
"25",0.002,0.01333334,0.03333333,1091510000,0.0293643911852519,0.011,0.016,0.016
"26",0.006,0.01305556,0.03305555,1152190000,-0.0465397981391446,0.011,0.018,0.018
"27",0.019,0.01277778,0.03277777,1121710000,0.0267081032980709,0.011,0.018,0.019
"28",0.021,0.0125,0.0325,1429050000,0.0457719894117383,0.013,0.018,0.02
"29",0.025,0.01222223,0.03222222,1215410000,-0.00790525250957097,0.013,0.02,0.021
"30",0.029,0.01194445,0.03194444,1505270000,0.0395139848113097,0.014,0.021,0.023
"31",0.027,0.01166667,0.03166667,1465340000,0.0176685013866131,0.014,0.021,0.022
"32",0.026,0.01138889,0.03138889,1249480000,0.0194159522914581,0.014,0.02,0.022
"33",0.022,0.01111111,0.03111111,1207400000,-0.0213212933437006,0.014,0.02,0.021
"34",0.022,0.01083334,0.03083333,1298310000,0.0029002611274711,0.015,0.02,0.021
"35",0.023,0.01055556,0.03055556,1204750000,-0.0155855916462514,0.016,0.019,0.021
"36",0.021,0.01027778,0.03027778,1442290000,0.0452996033294262,0.014,0.017,0.019
"37",0.017,0.01,0.03,1368160000,0.0112202443173544,0.014,0.016,0.017
"38",0.016,0.01,0.03,1360850000,0.0540786892967009,0.014,0.015,0.015
"39",0.013,0.01,0.03,1777520000,-0.00698408092835512,0.013,0.014,0.014
"40",0.015,0.01,0.03,1602630000,0.00751963202741779,0.014,0.013,0.013
"41",0.014,0.01,0.03,1410670000,0.035346463726676,0.014,0.012,0.012
"42",0.015,0.01,0.03,1833510000,0.0194112313222579,0.014,0.012,0.012
"43",0.015,0.01,0.03,1676890000,-0.0385597376827643,0.014,0.012,0.012
"44",0.013,0.01,0.03,1433390000,-0.0227790687670052,0.014,0.012,0.012
"45",0.015,0.01,0.03,1537490000,0.0434552662757086,0.014,0.012,0.011
"46",0.015,0.01,0.03,1706230000,0.0287164519217273,0.014,0.012,0.012
"47",0.018,0.01,0.03,2198090000,0.0581542025856416,0.015,0.013,0.012
"48",0.019,0.01,0.03,2288720000,0.0746410667562707,0.016,0.014,0.013
"49",0.022,0.01,0.03,1776320000,-0.0149085365886342,0.016,0.015,0.014
"50",0.022,0.01,0.03,2364840000,0.030808182554412,0.016,0.014,0.014
"51",0.023,0.01,0.03,2328990000,0.00788917543322976,0.016,0.013,0.013
"52",0.019,0.01,0.03,1945490000,-0.0499528435059281,0.016,0.013,0.014
"53",0.017,0.01,0.03,87408260000,0.0216060816359807,0.016,0.013,0.013
"54",0.015,0.01,0.03,109681550000,0.0678479391879834,0.016,0.012,0.012
"55",0.017,0.01,0.03,114946430000,0.0087118810652036,0.016,0.012,0.013
"56",0.017,0.01,0.03,125894210000,0.0683473890787485,0.016,0.011,0.011
"57",0.018,0.01,0.03,108209170000,-0.0386612359453101,0.016,0.011,0.012
"58",0.017,0.01,0.03,127678010000,0.0647933093309985,0.015,0.01,0.01
"59",0.015,0.01,0.03,123678100000,-0.0280958335730963,0.015,0.01,0.01
"60",0.009,0.01,0.03,1.23621e+11,-0.0481702475331294,0.014,0.009,0.009
"61",0.008,0.01,0.03,120355750000,0.028651287094184,0.014,0.009,0.008
"62",0.011,0.01,0.03,132518720000,0.000119457415844293,0.015,0.011,0.011
"63",0.01,0.01,0.03,133313840000,0.05855046022248,0.016,0.012,0.011
"64",0.01,0.01,0.03,146654160000,0.0657032076136763,0.015,0.011,0.01
"65",0.009,0.01,0.03,145803310000,0.0140900972415161,0.015,0.011,0.009
"66",0.011,0.01,0.03,105172290000,-0.00981085388127856,0.016,0.012,0.009
"67",0.01,0.01,0.03,136904710000,-0.0293683507769411,0.016,0.011,0.009
"68",0.01,0.01,0.03,116643940000,-0.0591157753998759,0.016,0.012,0.011
"69",0.009,0.01,0.03,118675860000,-0.202080348386166,0.016,0.012,0.011
"70",0.007,0.01,0.03,148685810000,0.0150794474586413,0.017,0.013,0.011
"71",0.011,0.01,0.03,144828490000,0.10584059717989,0.017,0.012,0.011
"72",0.012,0.01,0.03,128620690000,0.0218417443195627,0.018,0.014,0.013
"73",0.01,0.01,0.03,127988440000,0.0223837075290598,0.017,0.012,0.011
"74",0.007,0.01,0.03,134975140000,0.0375738447528078,0.017,0.011,0.01
"75",0.007,0.01,0.03,123103450000,-0.0619501748883859,0.016,0.011,0.01
"76",0.01,0.01,0.03,158200700000,0.0451628623557656,0.016,0.011,0.011
