Date,Close,Volume,Inflation_by_CPI,Inflation_Lower_Band,Inflation_Upper_Band,CPI_Common,CPI_Median,CPI_Trim,Real_GDP
1996-12-01,5927,1776320000,2.2,1,3,1.6,1.5,1.4,NaN
1997-01-01,6109.600098,2364840000,2.2,1,3,1.6,1.4,1.4,1.14E+12
1997-02-01,6157.799805,2328990000,2.3,1,3,1.6,1.3,1.3,1.15E+12
1997-03-01,5850.200195,1945490000,1.9,1,3,1.6,1.3,1.4,1.15E+12
1997-04-01,5976.600098,87408260000,1.7,1,3,1.6,1.3,1.3,1.16E+12
1997-05-01,6382.100098,1.10E+11,1.5,1,3,1.6,1.2,1.2,1.16E+12
1997-06-01,6437.700195,1.15E+11,1.7,1,3,1.6,1.2,1.3,1.17E+12
1997-07-01,6877.700195,1.26E+11,1.7,1,3,1.6,1.1,1.1,1.18E+12
1997-08-01,6611.799805,1.08E+11,1.8,1,3,1.6,1.1,1.2,1.18E+12
1997-09-01,7040.200195,1.28E+11,1.7,1,3,1.5,1,1,1.18E+12
1997-10-01,6842.399902,1.24E+11,1.5,1,3,1.5,1,1,1.19E+12
1997-11-01,6512.799805,1.24E+11,0.9,1,3,1.4,0.9,0.9,1.19E+12
1997-12-01,6699.399902,1.20E+11,0.8,1,3,1.4,0.9,0.8,1.20E+12
1998-01-01,6700.200195,1.33E+11,1.1,1,3,1.5,1.1,1.1,1.19E+12
1998-02-01,7092.5,1.33E+11,1,1,3,1.6,1.2,1.1,1.20E+12
1998-03-01,7558.5,1.47E+11,1,1,3,1.5,1.1,1,1.21E+12
1998-04-01,7665,1.46E+11,0.9,1,3,1.5,1.1,0.9,1.21E+12
1998-05-01,7589.799805,1.05E+11,1.1,1,3,1.6,1.2,0.9,1.21E+12
1998-06-01,7366.899902,1.37E+11,1,1,3,1.6,1.1,0.9,1.21E+12
1998-07-01,6931.399902,1.17E+11,1,1,3,1.6,1.2,1.1,1.21E+12
1998-08-01,5530.700195,1.19E+11,0.9,1,3,1.6,1.2,1.1,1.22E+12
1998-09-01,5614.100098,1.49E+11,0.7,1,3,1.7,1.3,1.1,1.22E+12
1998-10-01,6208.299805,1.45E+11,1.1,1,3,1.7,1.2,1.1,1.23E+12
1998-11-01,6343.899902,1.29E+11,1.2,1,3,1.8,1.4,1.3,1.23E+12
1998-12-01,6485.899902,1.28E+11,1,1,3,1.7,1.2,1.1,1.24E+12
1999-01-01,6729.600098,1.35E+11,0.7,1,3,1.7,1.1,1,1.25E+12
1999-02-01,6312.700195,1.23E+11,0.7,1,3,1.6,1.1,1,1.25E+12
1999-03-01,6597.799805,1.58E+11,1,1,3,1.6,1.1,1.1,1.25E+12
1999-04-01,7014.700195,1.27E+11,1.6,1,3,1.7,1.2,1.3,1.26E+12
1999-05-01,6841.799805,1.19E+11,1.5,1,3,1.7,1.2,1.3,1.26E+12
1999-06-01,7010.100098,1.38E+11,1.6,1,3,1.6,1.2,1.3,1.27E+12
1999-07-01,7081,1.18E+11,1.9,1,3,1.6,1.2,1.3,1.28E+12
1999-08-01,6970.799805,1.32E+11,2.1,1,3,1.6,1.2,1.3,1.29E+12
1999-09-01,6957.700195,1.45E+11,2.6,1,3,1.6,1.3,1.5,1.29E+12
1999-10-01,7256.200195,1.26E+11,2.3,1,3,1.5,1.3,1.5,1.30E+12
1999-11-01,7523.200195,1.55E+11,2.2,1,3,1.5,1.3,1.5,1.31E+12
1999-12-01,8413.799805,1.09E+11,2.6,1,3,1.6,1.4,1.6,1.32E+12
2000-01-01,8481.099609,1.40E+11,2.2,1,3,1.4,1.3,1.5,1.32E+12
2000-02-01,9129,90717750000,2.7,1,3,1.5,1.4,1.6,1.32E+12
2000-03-01,9462.400391,1.36E+11,3,1,3,1.5,1.4,1.6,1.33E+12
2000-04-01,9347.599609,1.84E+11,2.2,1,3,1.4,1.3,1.5,1.33E+12
2000-05-01,9252,2.14E+11,2.4,1,3,1.6,1.4,1.6,1.34E+12
2000-06-01,10195.5,1.92E+11,2.8,1,3,1.6,1.6,1.8,1.35E+12
2000-07-01,10406.29981,1.50E+11,2.9,1,3,1.7,1.6,1.8,1.35E+12
2000-08-01,11247.90039,1.78E+11,2.6,1,3,1.7,1.7,1.9,1.35E+12
2000-09-01,10377.90039,1.75E+11,2.7,1,3,1.7,1.6,1.8,1.36E+12
2000-10-01,9639.599609,2.15E+11,2.8,1,3,1.6,1.7,1.9,1.36E+12
2000-11-01,8819.900391,1.87E+11,3.2,1,3,1.7,1.8,2,1.36E+12
2000-12-01,8933.700195,2.00E+11,3.2,1,3,1.7,1.9,2.1,1.36E+12
